TWName,TMDBID
修羅天魔~骷髏城之七人．極 （新感線舞台劇）,Not Found
告白,54186
聖地X,950282
瀧澤歌舞伎 ZERO 2020 THE MOVIE,859323
戀之光 ,993782
錯位的青春,810674
幽靜的山荷葉,859798
每天上班總是累得要死,890326
由宇子的天秤,741648
如果30歲還是處男，似乎就能成為魔法師【後篇】,Not Found
對某飛行員的追憶,93013
如果30歲還是處男，似乎就能成為魔法師【前篇】,Not Found
隔壁的山田君 ,16198
鬼壓床了沒,130023
在我和天空之間,Not Found
青凪大學體育會航空部劇場版,Not Found
臥底型警FINAL,845611
相撲道,832848
我的夏日大戀習,Not Found
通往異世界的便利店,995387
美國女孩的日本日記,Not Found
心情直播不NG,102227
說不出口的愛,1045205
神隱少年狼,876906
夢境診斷與恐怖體驗,1011873
有頂天大飯店,112903
東京物語,18148
晚春,117646
戀上笨拙的你,Not Found
愛情在車上,1003706
國士無雙,146126
天堂髮廊,782648
無法無天,598
漂浪人生,680813
《爆裂戰警》,711017
河北臺北+講話沒有在聽,Not Found
月老,783740
咒,864370
聽見歌 再唱,793392
我吃了那男孩一整年的早餐,839294
五月天 人生無限公司,601434
流麻溝十五號,1005555
瀑布,852355
少年吔,943737
民雄鬼屋,931894
頭七,918035
想見你,730154
素還真,925725
美國女孩,878987
罪後真相,1007962
噩兆,917717
你在我心上,1025086
哈勇家,975812
少年吔，安啦！,205464
一杯熱奶茶的等待,876648
科學少女,957112
初戀慢半拍,933785
再說一次我願意,846517
男人與他的海,764425
我心我行,1006694
神人之家,937356
童話·世界,939475
一家子兒咕咕叫,899460
青春弒戀,796155
該死的阿修羅,880156
魔法阿媽 4K數位修復版,Not Found
售命,942953
一家之主,769802
小藍,975575
鱷魚,830784
尋找神話之鳥,984997
他還年輕,1005979
台灣男子葉石濤,987422
女優 摔吧！,975814
野夏天,931885
諸葛四郎─英雄的英雄,844658
不想一個人,72660
嗨！神獸,740823
有你相伴的旅程,Not Found
愛別離苦,946267
青春換日線,939287
廢棄之城,767246
老鷹之手,891566
藏匿處,936286
孫行者傳,1026182
回眸,1004017
大俠胡金銓 第一部曲—先知曾經來過,1005981
舞徑,1017006
沒有人該成為孤島,927480
妖果小學─水果奶奶的大秘密,1016207
期末考,810020
大俠胡金銓 第二部曲—斷腸人在天涯,Not Found
兜兜風,762361
徘徊年代,829584
逆者,868682
高山上的熱氣球,893252
再會啦  白宮,985569
教練,960450
詭祭,660001
願未央,816752
影子背後,1003994
給阿媽的一封信,874781
費爾的旅程,979440
削瘦的靈魂,802519
我記得,302528
修行,877246
文林銀行,900843
臥虎藏龍,263341
KULO,1009987
夏日天空的那匹紅馬,814174
還孩子做自己,1153451
我永遠永遠永遠愛你,1009977
綠色牢籠,878010
關於，半夜夢見林默娘乘著海湧把垃圾全丟進我的未來這件塑，好像是真的,1025309
有時 Mama，有時 Mimi,1009995
一起一起,704239
稻浪上的夢想家,1200506
聖石傳說,24614
17歲的天空 4K數位修復版,Not Found
家家,611698
全明星星光音樂會,Not Found
無邊,1126357
失序正義,1039769
不老騎士-歐兜邁環台日記,137686
勸世三姊妹：大銀幕特別版,1035872
格瑞特真相,798092
黑的教育,741329
幻日手記 ,900062
北將七,939939
如霧起時,979383
奼紫嫣紅開遍,375281
如夢,220584
如歌的行板,376514
兩地,246400
西部來的人,316569
1918,74107
化城再來人,865824
寶島大夢,484574
朝向一首詩的完成,865819
尋找背海的人,865831
獨自寂寞+少年阿堯+午後+看海,Not Found
逍遙遊,865828
無岸之河,876148
讀中文系的人,876136
破輪胎,278445
東西,792307
我這樣過了一生,256133
香蕉天堂,262831
風中家族,356701
我城,375538
紅柿子,262828
送報伕/不屈的魂靈—楊逵,Not Found
台灣新文學之父—賴和/安安靜靜林雙不,Not Found
第一爐香,660002
藍宇,27062
你好，李煥英,758891
于堇：蘭心大劇院,497834
野馬分鬃,712164
奪冠,638032
如果有一天我將會離開你,843441
四海,827689
郊區的鳥,537867
溫暖的抱抱,Not Found
這個殺手不太冷靜,923192
李茂扮太子,903125
不丹是教室,627087
大象席地而坐,499556
不可能的任務：致命清算 第一章,575264
關於我和鬼變成家人的那件事,983883
玩命關頭 X,385687
超級瑪利歐兄弟電影版,502356
鈴芽之旅,916224
捍衛任務4,603692
名偵探柯南 黑鐵的魚影,1047041
奧本海默,872585
Barbie芭比,346698
蒼鷺與少年,508883
變形金剛：萬獸崛起,667538
星際異攻隊3 ,447365
閃電俠,298618
水行俠 失落王國 ,572802
蟻人與黃蜂女 : 量子狂熱,640146
巨齒鯊2: 海溝深淵,615656
元素方城市,976573
蜘蛛人：穿越新宇宙,569094
龍與地下城：盜賊榮耀,493529
驚奇隊長 2 ,609681
富都青年,1027982
粽邪3 :鬼門開,1033667
旺卡,787699
請問，還有哪裡需要加強,1016392
「鬼滅之刃」上弦集結，前進刀匠村,1067282
私刑教育3,926393
飢餓遊戲：鳴鳥與游蛇之歌,695721
GT：跨界玩家,980489
新次元！蠟筆小新電影超能力大決戰～飛吧！手卷壽司～,1059572
鬼修女II,968051
小美人魚,447277
汪汪隊立大功：超級大電影（國語版）,Not Found
周處除三害,1046090
印第安納瓊斯：命運輪盤 ,335977
電影哆啦A夢：大雄與天空的理想鄉,1030587
窒友梅根,536554
玩命特攻：武演行動,739405
做工的人電影版,1026559
女鬼橋2：怨鬼樓,999087
我的婆婆怎麼把ＯＯ搞丟了,1027867
我的麻吉4個鬼,993092
拿破崙 ,753342
化劫,977209
速命道,1012267
A.I.創世者,670292
藍甲蟲,565770
沙贊！眾神之怒,594767
迫降危機,646389
浴血任務4,299054
威尼斯魅影謀殺案,945729
BIG,2280
詐團圓,1022862
奪魂鋸X,951491
陰兒房：鬼門陰深處,614479
犯罪都市3,955555
鏡之孤城,942881
水泥烏托邦：末日浩劫,729854
怪物,1050035
惡女,1047003
星願,1022796
疫起,1040284
查無此心,1006763
鬼玩人：復活 ,713704
本日公休,956288
悲情城市,49982
花月殺手,466420
絕地營救,882569
屁屁偵探 : 天才惡人屁屁亞蒂,952083
BLUE GIANT 藍色巨星,887870
邪厄,977177
山中森林,991898
山椒魚來了,1064787
名偵探柯南 灰原哀物語〜黑鐵的神祕列車〜,1058906
泰勒絲 | 年代巡迴演唱會電影,Not Found
老狐狸,1006012
大法師:信徒,807172
我最愛的笨男人,1080494
車頂上的玄天上帝,996108
梵蒂岡驅魔士,758323
超難搞先生,937278
佛萊迪餐館之五夜驚魂,507089
幽靈公館,616747
小曉,1005996
AIR,964980
正宗巨齒鯊,890771
我的鯨魚老爸,785084
爆復,762430
超危險保鑣,897087
自由之聲,678512
坎達哈行動,717930
珍愛硬起來,884605
65：恐怖行星,700391
巴比倫,615777
忍者龜：變種大亂鬥,614930
他馬克老闆,1022108
屍禁,11683
金手指,823598
鬼出櫃,532408
青春豬頭少年不會夢到嬌憐外出妹,1056803
赤心巔峰,1168337
之前的我們,666277
掃毒3：人在天涯,1093485
貴公子,1057001
鬼車站,844386
吸血鬼特助：雷菲爾,649609
鬼手鬼手 請開口,1008042
人肉搜索2：失蹤搜救,768362
南方，寂寞鐵道,1021768
逃出寧靜海,753091
火線交涉,606400
天龍八部之喬峰傳,990140
魔髮精靈：樂團在一起 ,901362
新世紀福音戰士新劇場版：終,283566
鐵達尼號 25周年重映版,Not Found
青春豬頭少年不會夢到紅書包女孩,1086591
成功補習班,1036397
驚聲尖叫 6,934433
贖命救援,581395
12.12：首爾之春,919207
數碼寶貝02 THE BEGINNING,872976
日麗,965150
金牌拳手III ,677179
新．假面騎士,813477
變身少女露比,1040148
無聲夜,891699
魔女宅急便,16859
巧虎電影　巧虎與塔魯王子,Not Found
小行星城,747188
恐怖感恩劫,1071215
劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY2>,Not Found
風再起時,531379
笨錢效應 ,792293
送葬人,1113119
鬼打牆,709631
GRIDMAN UNIVERSE,915403
BTS: YET TO COME IN CINEMAS,1063453
電影版 勿說是推理,1064669
復仇狗聯盟,912908
敲敲門,631842
TÁR 塔爾,817758
我和我的賽車老爸,975810
劇場版城市獵人：天使之淚,1056133
劫婚大作戰,758009
劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY1>,Not Found
千萬別開門,813079
催眠狙擊,536437
電影版 佐佐木與宮野 畢業篇,Not Found
My SHINee World,1148154
守護黑面琵鷺,1084783
伊尼舍林的女妖,674324
法拉利,365620
靈魂伴侶,617882
雪后奇緣,898230
人犬,944401
惡靈古堡：死亡島,1083862
不能流淚的悲傷,1077310
消失的紫斑蝶,1096018
青春並不溫柔,1006024
僕愛君愛：致深愛妳的那個我,874745
熊蓋毒,804150
下一球，勝利,621587
MAMAMOO：MY CON THE MOVIE,1137172
美麗的他電影版,1064662
夢行者保羅,823482
僕愛君愛：致我深愛的每個妳,874743
幽魂娜娜：重生,1066423
30日,1052433
限時追捕,605886
禍亂：地下秩序,1028684
8釐米：詛咒影帶,977155
一個人的朝聖,844409
年少日記,957863
鬼6怨,1168166
沒有國家的冠軍,581394
別叫我”賭神”,741600
殺手迴戰,876969
詐騙女王,941045
