,Year,MovieId,Name,tmdb_id,tmdb_tw_name
859,2023,23147,音爆浩劫,,
860,2023,23589,BTS:YETTOCOMEINCINEMAS,,
861,2023,22239,語意錯誤電影版,,
864,2023,21763,分手的決心,,
866,2023,26045,MySHINeeWorld,,
870,2023,25179,MAMAMOO：MYCONTHEMOVIE,,
871,2023,25642,IUCONCERT:THEGOLDENHOUR,,
874,2023,26219,30日,,
878,2023,25736,沒有國家的冠軍,,
879,2023,25351,ASTRO,,
894,2023,26350,NCTNATION：ToTheWorldinCinemas,,
895,2023,23549,維特:音樂劇,,
897,2023,24206,魯蛇大翻身,,
899,2023,24037,熊男,,
900,2023,23786,超完美狗保姆,,
904,2023,18516,薄荷糖,,
905,2023,23390,碰碰狐音樂電影:奇幻城嘉年華,,
906,2023,23547,淘氣小企鵝啵樂樂電影版：巨龍城堡大冒險(國語版),,
907,2023,7777,原罪犯,,
909,2023,23507,HERO,,
910,2023,23882,WINNER2022CONCERTTHECIRCLE:THEMOVIE,,
913,2023,8031,親切的金子,,
916,2023,16076,非常母親,,
917,2023,25148,劇場版衝鋒戰士：搶救月球大作戰,,
918,2023,26496,電影版淘氣小企鵝啵樂樂超級明星大冒險(國語版),,
919,2023,8074,我要復仇,,
920,2023,23508,對我而言，你是珍貴的,,
921,2023,24639,SUGA:RoadtoD-DAY,,
922,2023,19240,緣起不滅,,
924,2023,24640,j-hopeINTHEBOX,,
926,2023,25268,KANGDANIEL:MYPARADE,,
928,2023,25167,朝聖之路：一路平安,,
929,2023,25361,闇黑新世界,,
932,2023,24842,在水中,,
933,2023,24492,蝙蝠：血色情慾數位修復版,,
934,2023,23146,小說家電影,,
935,2023,24312,開心鬼上身,,
936,2023,23474,巫師靈不靈！？,,
937,2023,25592,7號房的禮物,,
938,2023,25535,狼少年：不朽的愛,,
943,2023,21265,PINA,,
944,2023,18110,竊聽風暴,,
948,2023,23290,蘿拉快跑,,
954,2023,24010,萊茵金,,
956,2023,20204,陸上行舟,,
957,2023,26389,666號房,,
958,2023,26345,水上迴光,,
959,2023,22270,危雞總動員,,
960,2023,26362,切格瓦拉滿天下,,
963,2023,24351,收陰機,,
968,2023,25397,在旅途中：方濟各的朝聖之旅,,
974,2023,23345,《聽見天堂》4K數位修復版,,
976,2023,23946,愛情停損點,,
979,2023,26481,巫術,,
980,2023,24729,尋愛小說家：海史密斯,,
981,2023,15271,熱帶雨,,
982,2023,21919,妖街皇后,,
983,2023,24786,芽籠,,
989,2023,21659,黑貓白貓：4K數位修復版,,
991,2023,24074,涅槃咒,,
993,2023,25360,智利，我的理想國,,
995,2023,18785,是誰得手林布蘭？,,
1003,2023,25182,五月雪,,
1004,2023,23605,孩子，你好嗎?我的名字叫李心潔,,
