adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,56370,Directing,Ruben Östlund,Ruben Östlund,6.25,/o4SdiMI5CyF1BrYL9aUhRQl58Xw.jpg,5a57e832c3a36825b2006065,Directing,Director,497828
False,2,1088096,Directing,James Nunn,James Nunn,2.944,/fa83eZedZOTM4DqkX1BrEUowkaT.jpg,62503facb6c2641058bf5f15,Directing,Director,960258
False,2,191750,Acting,Philip Barantini,Philip Barantini,2.656,/8v03JkqIDNm6TnaTuCiD929bexm.jpg,605339c8109230004df33cd2,Directing,Director,807196
False,2,1943403,Directing,Peeter Rebane,Peeter Rebane,0.766,/xPtLLkSm4ILILkNu72zFfS1szf5.jpg,602d0190e33f830041e071f2,Directing,Director,797838
False,2,572295,Directing,Howard J. Ford,Howard J. Ford,3.044,,61d97949b0040a0090315ebe,Directing,Director,924482
False,2,43553,Directing,Jerzy Skolimowski,Jerzy Skolimowski,5.303,/2gAkOxAf9sgr6RtXQeUSPu15kFx.jpg,62618c88f48e0d006741299f,Directing,Director,785398
False,2,1035,Writing,保羅·施拉德,Paul Schrader,7.926,/ctRxgCUSRFudwFaPG2AanL71Y3V.jpg,5db85ad03faba000193a90d2,Directing,Director,643532
False,2,975,Acting,Nick Moran,Nick Moran,14.369,/kfWebCAm72JBZLXcNbA2Myr950E.jpg,5d5c24a5f29d66001318cc54,Directing,Director,624793
False,2,168330,Directing,Ben Lewin,Ben Lewin,3.121,/yUcFotxiIBNpbAl5zo7galsogdK.jpg,5a97e5cac3a368615100fdae,Directing,Director,508444
False,2,224,Directing,David Cronenberg,David Cronenberg,17.903,/3xh4e2gWHDilMLtucHzDGsmJMuQ.jpg,52fe4369c3a36847f8052415,Directing,Director,2742
